BFX_ID,Y_PRED
BFX_000000,0
BFX_000000,0
BFX_000002,0
BFX_000003,0
BFX_000004,0
BFX_000005,0
BFX_002046,0
BFX_002047,0
BFX_002048,0
BFX_002049,0
BFX_002050,0
BFX_002050,0
BFX_002054,0
BFX_002055,0
BFX_003884,0
BFX_003885,0
BFX_008588,0
BFX_008589,0
BFX_008590,0
BFX_008590,0
BFX_008592,0
BFX_008593,0
BFX_008594,0
BFX_008595,0
BFX_008596,0
BFX_008597,0
BFX_008598,0
BFX_000666,0
BFX_000667,0
BFX_000668,0
BFX_000669,0
BFX_000670,0
BFX_000670,0
BFX_000673,0
BFX_000674,0
BFX_020603,0
BFX_020604,0
BFX_020605,0
BFX_025676,0
BFX_025677,0
BFX_025678,0
BFX_025679,0
BFX_025680,0
BFX_025680,0
BFX_025922,0
BFX_025923,0
BFX_025924,0
BFX_026460,0
BFX_026460,0
BFX_026462,0
BFX_026463,0
BFX_026464,0
BFX_026465,0
BFX_026466,0
BFX_026467,0
BFX_026468,0
BFX_026504,0
BFX_026505,0
BFX_026527,0
BFX_026528,0
BFX_026529,0
BFX_026530,0
BFX_026548,0
BFX_026549,0
BFX_027026,0
BFX_027027,0
BFX_027028,0
BFX_027029,0
BFX_027030,0
BFX_029270,0
BFX_029270,0
BFX_032070,0
BFX_032070,0
BFX_032072,0
BFX_032073,0
BFX_032074,0
BFX_033907,0
BFX_033908,0
BFX_033909,0
BFX_033920,0
BFX_033936,0
BFX_033937,0
BFX_037798,0
BFX_037799,0
BFX_037800,0
BFX_047522,0
BFX_002565,0
BFX_002566,0
BFX_002567,0
BFX_002568,0
BFX_002569,0
BFX_002570,0
BFX_002570,0
BFX_002572,0
BFX_002573,0
BFX_005098,0
BFX_000693,0
BFX_000694,0
BFX_000695,0
BFX_000696,0
BFX_000697,0
BFX_000698,0
BFX_000703,0
BFX_000704,0
BFX_000705,0
BFX_000706,0
BFX_000904,0
BFX_000905,0
BFX_000906,0
BFX_000907,0
BFX_006463,0
BFX_006950,0
BFX_006950,0
BFX_006952,0
BFX_022089,0
BFX_022090,0
BFX_022090,0
BFX_026260,0
BFX_026260,0
BFX_026262,0
BFX_026263,0
BFX_026264,0
BFX_026265,0
BFX_026277,0
BFX_026278,0
BFX_026558,0
BFX_026559,0
BFX_026700,0
BFX_026700,0
BFX_026702,0
BFX_027030,0
BFX_027032,0
BFX_027033,0
BFX_027034,0
BFX_027035,0
BFX_027036,0
BFX_027037,0
BFX_029984,0
BFX_029985,0
BFX_030677,0
BFX_030678,0
BFX_030679,0
BFX_030750,0
BFX_030752,0
BFX_030753,0
BFX_030754,0
BFX_030755,0
BFX_033025,0
BFX_033026,0
BFX_033027,0
BFX_033028,0
BFX_033029,0
BFX_033030,0
BFX_033030,0
BFX_033032,0
BFX_033033,0
BFX_033034,0
BFX_034807,0
BFX_034808,0
BFX_034807,0
BFX_034808,0
BFX_034809,0
BFX_034820,0
BFX_034820,0
BFX_034822,0
BFX_034823,0
BFX_034824,0
BFX_034825,0
BFX_034826,0
BFX_034827,0
BFX_034828,0
BFX_034829,0
BFX_034830,0
BFX_038037,0
BFX_038038,0
BFX_044570,0
BFX_044570,0
BFX_047490,0
BFX_047490,0
BFX_047492,0
BFX_047493,0
BFX_047494,0
BFX_047495,0
BFX_047496,0
BFX_047497,0
BFX_047498,0
BFX_000004,3
BFX_000005,3
BFX_002538,3
BFX_002539,3
BFX_006849,3
BFX_006850,3
BFX_006850,3
BFX_006852,3
BFX_008767,3
BFX_008768,3
BFX_002453,3
BFX_002454,3
BFX_002455,3
